date,A036570_엔씨소프트,A078340_컴투스,A112040_위메이드,A181710_NHN,A192080_더블유게임즈,A194480_데브시스터즈,A251270_넷마블,A259960_크래프톤,A263750_펄어비스,A293490_카카오게임즈,close
2022-07-08,373500,75100,59100,27650,40900,45000,68700,237000,52600,49000,821.13
2022-07-11,363500,75900,58600,28350,40600,44500,67800,239500,51500,48950,813.83
2022-07-12,358000,73500,57400,28200,39100,42800,67200,237000,49850,49350,803.43
2022-07-13,366500,73100,60900,27500,40500,47200,69000,242500,51800,50500,824.3
2022-07-14,367500,74100,61700,29250,41000,48200,68300,245000,52500,51500,828.82
2022-07-15,363500,71900,60000,28450,39850,46000,68400,235500,51800,49400,812.29
2022-07-18,367500,75600,60800,28600,40650,46750,68700,238500,52500,50100,821.46
2022-07-19,367500,75000,61600,27950,41000,46450,70400,235000,52600,50900,823.55
2022-07-20,372000,75800,63200,27650,41600,47100,70200,247500,52700,51500,839.62
2022-07-21,376000,77200,63600,28150,41300,49200,70900,258500,53300,51600,856.27
2022-07-22,373500,76100,60700,28050,41250,47350,69900,258000,52100,49850,846.62
2022-07-25,370000,76100,61700,27950,41100,47550,71800,256000,53000,49300,848.23
2022-07-26,369500,75300,61700,28050,41500,47650,71200,257000,52000,50400,847.52
2022-07-27,362500,74300,57300,27400,41300,51200,70700,241000,51100,49650,822.94
2022-07-28,364500,74300,58200,27150,41100,52000,69600,244500,51700,49900,825.81
2022-07-29,372500,76700,59300,27300,42250,49100,72100,233500,53300,50700,830.09
2022-08-01,373000,77100,58900,27450,41700,45900,69900,243000,52700,50700,832.24
2022-08-02,366500,75700,57200,27250,40350,44600,67200,242000,52400,50800,817.92
2022-08-03,380500,81900,59800,27800,41150,45300,68600,252000,57400,57900,854.92
2022-08-04,385500,84800,74900,28900,42300,47250,71600,263000,59200,58100,887.5
2022-08-05,387500,83600,75200,28700,41950,46050,71900,257500,59700,57500,883.58
2022-08-08,388500,84200,72000,28650,41850,45450,71500,260000,61000,57200,884.76
2022-08-09,412000,84100,72500,29150,42000,45600,73500,263000,61300,58800,910.36
2022-08-10,393500,81500,69700,28800,39050,44100,70500,253000,60600,56800,875.2
